Rank,Term,Score,Search term?,Category?
1777,experimental site,2.00,,
1777,comprehensive base,2.00,,
1777,singular transformation,2.00,,
1777,fluorescence induction,2.00,,
1777,spring succession,2.00,,
1777,nonindigenous clam potamocorbula amurensis,2.00,,
1777,photosynthetic algal produc- tion,2.00,,
1777,do doc,2.00,,
1777,small size,2.00,,
1777,bransfield strait average p,2.00,,
1777,average surface ocean ph,2.00,,
1777,oxford uni- versity press,2.00,,
1777,nutrient retention,2.00,,
1777,null hypothesis,2.00,,
1777,central subpolar atlantic site,2.00,,
1777,ccmp1516 draft genome protein,2.00,,
1777,information content,2.00,,
1777,neilson bj,2.00,,
1777,human pressure,2.00,,
1777,de-trended yearly chl anomaly,2.00,,
1777,bottom-up ecosystem trophic dynamic,2.00,,
1777,uk defra contract me5302,2.00,,
1777,science www.sciencemag.org,2.00,,
1777,heterotrophic microbe,2.00,,
1777,heterotroph balance,2.00,,
1777,copepod production,2.00,,
1777,rough estimate,2.00,,
1777,plasma volume,2.00,,
1777,additional analysis,2.00,,
1777,regional impact,2.00,,
1777,a673v mutation,2.00,,
1777,natural seston size fraction,2.00,,
1777,ecosystem variability,2.00,,
1777,estuarine-coastal system,2.00,,
1777,cop carbon growth efficiency,2.00,,
1777,initial algal community structure,2.00,,
1777,o/southern oscillation,2.00,,
1777,cosine par,2.00,,
1777,west european coastal area,2.00,,
1777,photosynthetic organism,2.00,,
1777,bacterial consumer,2.00,,
1777,adequate datum,2.00,,
1777,excretory product,2.00,,
1777,dinezio pn,2.00,,
1777,drake passage average p,2.00,,
1777,multiscale variability,2.00,,
1777,high-copepod sub-experiment,2.00,,
1777,cyclical variation,2.00,,
1777,iron bioavailability,2.00,,
1777,so-called microbial food web,2.00,,
1777,intense oxygen minimum zone,2.00,,
1777,organic matter elizabeth b,2.00,,
1777,muller-karger f,2.00,,
1777,positive impact,2.00,,
1777,ultraviolet absorption cross section,2.00,,
1777,acid leachable fe.aerdxpeolanennteiatl arel.grfesigsi.on8,2.00,,
1777,trophic connectance,2.00,,
1777,doc flow,2.00,,
1777,mass spectrometer,2.00,,
1777,spring bloom hypothesis 3a,2.00,,
1777,such satellite-based npp estimate,2.00,,
1777,helpful discussion,2.00,,
1777,north sea regime shift,2.00,,
1777,southern continental shelf region,2.00,,
1777,coastal pelagic food web,2.00,,
1777,horseradish peroxidase,2.00,,
1777,established inverse mathematical method,2.00,,
1777,danube river,2.00,,
1777,diel variation,2.00,,
1777,unpublished datum,2.00,,
1777,polar area,2.00,,
1777,long- term,2.00,,
1777,organic matter escape remineralization,2.00,,
1777,normal algal bloom development,2.00,,
1777,blended datum,2.00,,
1777,long-term record,2.00,,
1777,macrotidal estuary,2.00,,
1777,north pacific regime shift,2.00,,
1777,historical sea ice variability,2.00,,
1777,shore station,2.00,,
1777,marine diatom thalassiosira pseudonana,2.00,,
1777,northeast region,2.00,,
1777,canadian estuary,2.00,,
1777,nutrient-poor region,2.00,,
1777,size decrease,2.00,,
1777,turner designs model 10-au,2.00,,
1777,outermost station,2.00,,
1777,cronin le,2.00,,
1777,satellite ocean color estimate,2.00,,
1777,redox state,2.00,,
1777,microcystis aeruginosa,2.00,,
1777,bacterial activity,2.00,,
1777,temporal span,2.00,,
1777,ocean change,2.00,,
1777,satellite information,2.00,,
1777,numerical response,2.00,,
1777,marine fishery,2.00,,
1777,average flow,2.00,,
1777,phytoplankton diversity,2.00,,
1777,physiological change,2.00,,
1777,biochemical process,2.00,,
1777,oithona sp,2.00,,
1777,seawater acidity,2.00,,
1777,warm eastern north pacific,2.00,,
1777,continuous culture,2.00,,
1777,phenotypic variability,2.00,,
1777,omnivorous copepod,2.00,,
1777,psii 12kda extrinsic protein,2.00,,
1777,biogeochemical stability,2.00,,
1777,original regime,2.00,,
1777,south shetlands islands area,2.00,,
1777,microbial food web structure,2.00,,
1777,assimilation efficiency growth efficiency,2.00,,
1777,municipal waste,2.00,,
1777,toxic phytoflagellate prymnesium parvum,2.00,,
1777,competitive ability,2.00,,
1777,mixed nutrient,2.00,,
1777,solid titanium dioxide pellet,2.00,,
1777,species assemblage,2.00,,
1777,archael electron transfer chain,2.00,,
1777,non-localized emergent system property,2.00,,
1777,south china coastal current,2.00,,
1777,comprehensive understanding,2.00,,
1777,virus-induced mortality,2.00,,
1777,physical circulation,2.00,,
1777,bacterial protein synthesis rate,2.00,,
1777,quantitative analysis,2.00,,
1777,copepod egg production rate,2.00,,
1777,food mass,2.00,,
1777,40s ribosomal protein s12,2.00,,
1777,kelvin wave,2.00,,
1777,long- term nutrient enrichment,2.00,,
1777,marine information research center,2.00,,
1777,mesohaline region,2.00,,
1777,coastal scientist,2.00,,
1777,seawater analysis,2.00,,
1777,co2 sensitivity,2.00,,
1777,fig .2 bloom dynamic,2.00,,
1777,p. tricornutum22,2.00,,
1777,heterotrophic flagellate,2.00,,
1777,weddell-scotia con,2.00,,
1777,calanus abundance,2.00,,
1777,coastal zooplankton food web,2.00,,
1777,structural mass,2.00,,
1777,light datum,2.00,,
1777,capture modern enso variation,2.00,,
1777,chain q4g3f4 s-adenosylmethionine synthetase,2.00,,
1777,fourth eof spatial pattern,2.00,,
1777,dop uptake,2.00,,
1777,figure s1 natural variation,2.00,,
1777,n cycling,2.00,,
1777,atomic ratio,2.00,,
1777,recent trend,2.00,,
1777,algal assimilation,2.00,,
1777,iron demand,2.00,,
1777,knap ah,2.00,,
1777,novel phyto- plankton bloom,2.00,,
1777,growth season,2.00,,
1777,seawater pco2,2.00,,
1777,biochemical function,2.00,,
1777,measurable nitrate,2.00,,
1777,atlantic region,2.00,,
1777,table s3,2.00,,
1777,system compliance,2.00,,
1777,low primary production rate,2.00,,
1777,comparable series,2.00,,
1777,light attenuation,2.00,,
1777,information methods s1 uplc,2.00,,
1777,land archipelago,2.00,,
1777,indian ocean dipole index,2.00,,
1777,carbon weight,2.00,,
1777,single analysis,2.00,,
1777,unprecedented openocean sedimentation rate,2.00,,
1777,fe datum,2.00,,
1777,c cycle,2.00,,
1777,nutrient regeneration,2.00,,
1777,response variable,2.00,,
1777,cell count,2.00,,
1777,dore je,2.00,,
1777,subtropical north pacific ocean,2.00,,
1777,cylindrical polymethyl methacrylate tank,2.00,,
1777,water management,2.00,,
1777,management practice,2.00,,
1777,natural loading,2.00,,
1777,contour plot,2.00,,
1777,open triangle,2.00,,
1777,period day,2.00,,
1777,cellular content,2.00,,
1777,box core rapid 21-12-b,2.00,,
1777,marine ecosystems research laboratory,2.00,,
1777,ecological theatre,2.00,,
1777,homogenous northern north sea,2.00,,
1777,statistical method,2.00,,
1777,semicontinuous culture,2.00,,
1777,low availability,2.00,,
1777,benthic nutrient regener- ation,2.00,,
1777,literature cited editorial responsibility,2.00,,
1777,coral reef distur- bance,2.00,,
1777,central region,2.00,,
1777,particulate organic carbon export,2.00,,
1777,thau lagoon,2.00,,
1777,plankton net,2.00,,
1777,co2 incubation,2.00,,
1777,characteristic proper- mate congress,2.00,,
1777,cold period,2.00,,
1777,a t e r,2.00,,
1777,p term,2.00,,
1777,coastal bay,2.00,,
1777,redox transformation,2.00,,
1777,pelagic food web con,2.00,,
1777,scotia ridge,2.00,,
1777,forth estuary,2.00,,
1777,heterotrophic biomass,2.00,,
1777,simulated net primary production,2.00,,
1777,kevlar hydrowire,2.00,,
1777,autotrophic response,2.00,,
1777,maximum carbon growth efficiency,2.00,,
1777,simple box model calculation,2.00,,
1777,ciliate volume,2.00,,
1777,varela r,2.00,,
1777,alternative marine food web,2.00,,
1777,eastern boundary coastal site,2.00,,
1777,low specific growth rate,2.00,,
1777,coastal water quality management,2.00,,
1777,ind l-1,2.00,,
1777,global economy,2.00,,
1777,nitrogen input,2.00,,
1777,oceanic biota,2.00,,
1777,seasonal dynamic,2.00,,
1777,independent experiment,2.00,,
1777,copepod response,2.00,,
1777,multi-decadal variation,2.00,,
1777,holocene contemporary three-cell structure,2.00,,
1777,short term,2.00,,
1777,doc accumulation,2.00,,
1777,strategic institution project 158936/i10,2.00,,
1777,sediment-derived fe,2.00,,
1777,eastern mediterranean,2.00,,
1777,danish fjord,2.00,,
1777,greenland nomic decision maker,2.00,,
1777,low oxygen,2.00,,
1777,worldwide ocean optics database,2.00,,
1777,p nutrient loading rate,2.00,,
1777,so-called tipping element side,2.00,,
1777,autotrophic flagellate,2.00,,
1777,long timescale,2.00,,
1777,fig 1c,2.00,,
1777,n input,2.00,,
1777,deck experiment,2.00,,
1777,atmospheric transport,2.00,,
1777,system productivity,2.00,,
1777,medium-term variability,2.00,,
1777,ml uterm,2.00,,
1777,global circulation,2.00,,
1777,benthic compartment,2.00,,
1777,nitrogen-fixing cyanobacteria,2.00,,
1777,ambient co2,2.00,,
1777,normal condition,2.00,,
1777,phosporus input rate lp,2.00,,
1777,extraordinary mid-ocean plankton bloom,2.00,,
1777,system integrity,2.00,,
1777,copepod datum,2.00,,
1777,local sea surface temperature,2.00,,
1777,stephanie dutkiewicz local adaptation,2.00,,
1777,lg p,2.00,,
1777,rhine river,2.00,,
1777,year-to-year variation,2.00,,
1777,text s1,2.00,,
1777,regression slope,2.00,,
1777,short route,2.00,,
1777,northeastern us,2.00,,
1777,zehr jp,2.00,,
1777,nebulizer gas flow optimization,2.00,,
1777,cell chlorophyll,2.00,,
1777,detrital particulate organic c,2.00,,
1777,depth- dependent elemental composition,2.00,,
1777,seawater co2,2.00,,
1777,gpp mean biomass gc,2.00,,
1777,combined loss,2.00,,
1777,near-surface chlorophyll,2.00,,
1777,healthy system,2.00,,
1777,light intensities5,2.00,,
1777,total carbon release rate,2.00,,
1777,resource acquisition,2.00,,
1777,bloom development,2.00,,
1777,inland snow,2.00,,
1777,systematic uncertainty,2.00,,
1777,bacte- ria,2.00,,
1777,clear indication,2.00,,
1777,bransfield strait-elephant island section,2.00,,
1777,reference material,2.00,,
1777,temperature-driven shift,2.00,,
1777,nutritional state,2.00,,
1777,chavez fp,2.00,,
1777,future change,2.00,,
1777,maximum production,2.00,,
1777,food web component constraint,2.00,,
1777,average specific growth rate,2.00,,
1777,iron-enrichment experiment,2.00,,
1777,marine epipelagic invertebrate zooplankton,2.00,,
1777,dynamic state,2.00,,
1777,present-day condition,2.00,,
1777,north pacific marine environment,2.00,,
1777,uptake flow,2.00,,
1777,severe starvation,2.00,,
1777,tidal amplitude,2.00,,
1777,equatorial atlantic,2.00,,
1777,? c,2.00,,
1777,calcite precipitation,2.00,,
1777,ecological change,2.00,,
1777,classical freshwater hysteresis tionality,2.00,,
1777,western australia,2.00,,
1777,research direction,2.00,,
1777,winter storm,2.00,,
1777,montreal protosea-ice-free arctic ocean,2.00,,
1777,warm water,2.00,,
1777,kiel bight,2.00,,
1777,healthy ecosystem,2.00,,
1777,bidigare rr,2.00,,
1777,centropages sp.,2.00,,
1777,marine pelagic sys- tem,2.00,,
1777,trade wind,2.00,,
1777,santa barbara,2.00,,
1777,unsaturated n-3 fatty acid,2.00,,
1777,fkbp-type peptidyl-prolyl cis-trans isomerase,2.00,,
1777,proteomic investigation,2.00,,
1777,methods summary,2.00,,
1777,experimental temperature,2.00,,
1777,air-sea interface,2.00,,
1777,percent uptake,2.00,,
1777,le pape,2.00,,
1777,ecothe arctic sea ice,2.00,,
1777,body size,2.00,,
1777,climate impact,2.00,,
1777,hebel dv,2.00,,
1777,chesapeake bay oyster population,2.00,,
1777,low response,2.00,,
1777,paleocene eocene thermal maximum,2.00,,
1777,single linear food chain,2.00,,
1777,antarctic ecosystem research division,2.00,,
1777,royal society research grant,2.00,,
1777,atmospheric chemistry,2.00,,
1777,14c uptake,2.00,,
1777,est search,2.00,,
1777,predation mesocosm,2.00,,
1777,carbon transfer,2.00,,
1777,biological-physical interaction,2.00,,
1777,plastic bio-rad column system,2.00,,
1777,green dna dye fluorescence,2.00,,
1777,soluble fe,2.00,,
1777,steady-state fe,2.00,,
1777,host immune system evasion,2.00,,
1777,pronounced three-level trophic cascade,2.00,,
1777,new zealand global biogeochem,2.00,,
1777,normal low nutrient supply,2.00,,
1777,pelagic phos- phorus cycle,2.00,,
1777,brackish-water copepod eurytemora affinis,2.00,,
1777,present-day sea surface temperature,2.00,,
1777,benthic com- munity structure,2.00,,
1777,frontal system,2.00,,
1777,eukaryotic picoplankton,2.00,,
1777,sci- ence,2.00,,
1777,additional hepa air-filter cartridge,2.00,,
1777,dark reaction,2.00,,
1777,marine food web structure,2.00,,
1777,direct measurement,2.00,,
1777,ocean ventilation,2.00,,
1777,pr40 c o30 d,2.00,,
1777,stopped-flow luminol chemiluminescence meter,2.00,,
1777,moderate nutri0.393 ent input,2.00,,
1777,co2 fixation,2.00,,
1777,wulff f,2.00,,
1777,complex organism,2.00,,
1777,stability landscape,2.00,,
1777,food-web component,2.00,,
1777,dynamic regu- latory model,2.00,,
1777,community dynamic,2.00,,
1777,black-legged kittiwake rissa tridactyla,2.00,,
1777,arrhenius factor,2.00,,
1777,positive response,2.00,,
1777,linear relationship,2.00,,
1777,l medium,2.00,,
1777,b-ab central pathological feature,2.00,,
1777,freshwater input,2.00,,
1777,marine research,2.00,,
1777,climatological northern boundary condition,2.00,,
1777,cell physiology,2.00,,
1777,peaceful atmosphere,2.00,,
1777,herbivorous ciliate,2.00,,
1777,size selectivity,2.00,,
1777,average pre-1960 coccolith mass,2.00,,
1777,crc press,2.00,,
1777,dust deposition,2.00,,
1777,3d state space plot,2.00,,
1777,warming world,2.00,,
1777,pelagic food web productivity,2.00,,
1777,natural population,2.00,,
1777,natural mortality,2.00,,
1777,weak eastern boundary current,2.00,,
1777,sea surface temperature variability,2.00,,
1777,protein abundance,2.00,,
1777,experi- mental ocean acidification,2.00,,
1777,climate dynamics,2.00,,
1777,deep nutricline,2.00,,
1777,environmental perturbation,2.00,,
1777,app mutation,2.00,,
1777,24-hour incubation,2.00,,
1777,north seas,2.00,,
1777,upper-mixed-layer depth,2.00,,
1777,summer maximum,2.00,,
1777,proteomic response,2.00,,
1777,coccolithophorid emilia- nia huxleyi,2.00,,
1777,group abbreviation tive intercept,2.00,,
1777,net primary pro- duction,2.00,,
1777,nutrient-rich estuary,2.00,,
1777,food item,2.00,,
1777,scalar distance euclidian distance,2.00,,
1777,low molecular mass ligand,2.00,,
1777,low initial copepod biomass,2.00,,
1777,calanus strategic research programme,2.00,,
1777,open system,2.00,,
1777,low attainable nutrient release,2.00,,
1777,barents sea,2.00,,
1777,species-selective response,2.00,,
1777,n-dimensional space,2.00,,
1777,carnivore predation,2.00,,
1777,ocean color remote sensing,2.00,,
1777,systemic approach,2.00,,
1777,american association,2.00,,
1777,system state variable space,2.00,,
1777,fe-enriched weddell sea water,2.00,,
1777,fig 1b,2.00,,
1777,linear model,2.00,,
1777,bottom-water anoxia,2.00,,
1777,food chain theory predict,2.00,,
1777,global chlorophyll,2.00,,
1777,calcite production,2.00,,
1777,circulation pattern human custom,2.00,,
1777,solid curve,2.00,,
1777,austral summer,2.00,,
1777,atm co,2.00,,
1777,temperature change,2.00,,
1777,vitamin k,2.00,,
1777,international agency,2.00,,
1777,mathematical representation,2.00,,
1777,several integrated assessment method,2.00,,
1777,c-feeding dic-release doc-release dec-release,2.00,,
1777,bacterial cold shock response,2.00,,
1777,fossil-fuel intensive emission scenario,2.00,,
1777,co2 variation,2.00,,
1777,c. finmarchicus,2.00,,
1777,biogeochemistry marine photosynthetic plankton,2.00,,
1777,early response,2.00,,
1777,cell mol,2.00,,
1777,natural zooplank- ton community,2.00,,
1777,energy limitation,2.00,,
1777,elasticity analogue,2.00,,
1777,marine productivity,2.00,,
1777,carbon acquisition,2.00,,
1777,observational series,2.00,,
1777,williams gp,2.00,,
1777,human population,2.00,,
1777,gerlache strait,2.00,,
1777,reporter ion,2.00,,
1777,differential expression,2.00,,
1777,stressed ecosystem,2.00,,
1777,salinity gradient,2.00,,
1777,ingested c,2.00,,
1777,marine dissolved organic nitrogen,2.00,,
1777,per- spective,2.00,,
1777,proto- zoan,2.00,,
1777,rapid growth,2.00,,
1777,coccolith size,2.00,,
1777,nutrient intake,2.00,,
1777,protoperidinium spp,2.00,,
1777,dom component,2.00,,
1777,time-series capture interannualscale variation,2.00,,
1777,financial interest,2.00,,
1777,physical oceanography,2.00,,
1777,pennate diatom,2.00,,
1777,respiratory electron transport chain,2.00,,
1777,toxic dinoflagellate,2.00,,
1777,long residence,2.00,,
1777,light condition,2.00,,
1777,habitat change,2.00,,
1777,seawifs chlorophyll,2.00,,
1777,microphytobentho biomass,2.00,,
1777,upper ocean current datum,2.00,,
1777,atmospheric deposition,2.00,,
1777,alkalinity surface ocean ph,2.00,,
1777,eu marine strategy framework,2.00,,
1777,incident solar visible radiation,2.00,,
1777,marine pelagic trophic cascade,2.00,,
1777,effective yield,2.00,,
1777,cellular particulate inorganic carbon,2.00,,
1777,marine zooplankton,2.00,,
1777,winter mixing,2.00,,
1777,average initial algal biomass,2.00,,
1777,broad range,2.00,,
1777,mechanistic explanation,2.00,,
1777,chloroplastic atp synthase subunit,2.00,,
1777,8plex itraq peptide labeling,2.00,,
1777,chemical measurement,2.00,,
1777,fe photoreduction,2.00,,
1777,experimental protocol,2.00,,
1777,copepod abundance,2.00,,
3184,cil cop,1.87,,
3185,o c e a n s tion,1.81,,
3186,coastal marine invertebrate,1.58,,
3186,satellite remote sensing,1.58,,
3186,capture firstorder change,1.58,,
3186,weak trophic cascade,1.58,,
3186,separate control mesocosm,1.58,,
3186,pelagic nitrogen fixation,1.58,,
3186,annual ecosystem variability,1.58,,
3186,labile doc interfere,1.58,,
3186,predation flow component,1.58,,
3186,environmental temperature change,1.58,,
3186,pelagic ecosystem envision,1.58,,
3186,oxy- gen content,1.58,,
3186,online material www,1.58,,
3186,mean wind speed,1.58,,
3186,net primary productivity,1.58,,
3186,small-sized opportunist specie,1.58,,
3186,organic input rate,1.58,,
3186,blank seawater medium,1.58,,
3186,trondheim biological station,1.58,,
3186,light transmittance measurement,1.58,,
3186,upper mixed layer3,1.58,,
3186,marine en- vironment,1.58,,
3186,histone gene expression,1.58,,
3186,apparent oxygen utilization,1.58,,
3186,prince edward island,1.58,,
3186,initial situation chlorophyll,1.58,,
3186,photon m21 s21,1.58,,
3186,mucin-associated surface protein,1.58,,
3186,calcareous nannofossil record,1.58,,
3186,model parameterization difficulty,1.58,,
3186,engineering research council,1.58,,
3186,nauplii hypothesis 4a,1.58,,
3186,plankton community structure,1.58,,
3186,average particulate phosphorus,1.58,,
3186,microflagellate pro- tozoa,1.58,,
3186,calci- fication impact,1.58,,
3186,degradable organic carbon,1.58,,
3186,stratifying water body,1.58,,
3186,commu- nity structure,1.58,,
3186,food web property,1.58,,
3186,arbitrary reference condition,1.58,,
3186,post-formation calcite dissolution,1.58,,
3186,zooplankton-mediated carbon flow,1.58,,
3186,thermo scientific nalgene,1.58,,
3186,east pacific ocean,1.58,,
3186,marine ecology warm,1.58,,
3186,polar frontal region,1.58,,
3186,monterey bay station,1.58,,
3186,coastal survey area,1.58,,
3186,dfe analysis water,1.58,,
3186,net n prod,1.58,,
3186,pinc model caco3,1.58,,
3186,direct ph measurement,1.58,,
3186,kittiwake reproductive success,1.58,,
3186,harvard university press,1.58,,
3186,social- ecological system,1.58,,
3186,phytoplankton bloom timing,1.58,,
3186,complex paleoclimatic record,1.58,,
3186,antarctic ocean phytoplankton,1.58,,
3186,massive phytoplankton bloom,1.58,,
3186,complex oceanographic driver,1.58,,
3186,norwegian fjord system,1.58,,
3186,rfe system gmbh,1.58,,
3186,smallsized prey specie,1.58,,
3186,seasonal atlantic eof,1.58,,
3186,space-borne observational basis,1.58,,
3186,oceanic carbon balance,1.58,,
3186,initial cell density,1.58,,
3186,water mass distribution,1.58,,
3186,full reproductive capacity.,1.58,,
3186,light intensity representative,1.58,,
3186,photosynthetic fluorescence parameter,1.58,,
3186,natural marine ecosystem,1.58,,
3186,eutrophic coastal area,1.58,,
3186,food little information,1.58,,
3186,benthic microbial metabolism,1.58,,
3186,water transparency decline,1.58,,
3186,-based ocean productivity,1.58,,
3186,draakl.e passag1e0et fig,1.58,,
3186,pessimistic ipcc scenario,1.58,,
3186,-binding ligand production,1.58,,
3186,recent research activity,1.58,,
3186,surface wind stress,1.58,,
3186,alexis plankton community,1.58,,
3186,phosphorus release rate,1.58,,
3186,standardized secchi disk,1.58,,
3186,diverse bacterial assemblage,1.58,,
3186,holocene sediment pattern,1.58,,
3186,open ocean indicator,1.58,,
3186,central line regression,1.58,,
3186,traditional oxygenic photosynthesis,1.58,,
3186,c flow network,1.58,,
3186,simple sensitivity index,1.58,,
3186,current century end,1.58,,
3186,oceanic food web,1.58,,
3186,biomass determination q,1.58,,
3186,sporadic diatom bloom,1.58,,
3186,biological productiv- ity,1.58,,
3186,press jenkins wj,1.58,,
3186,large marine ecosystem,1.58,,
3186,underwater light attenuation,1.58,,
3186,phytoplankton size structure,1.58,,
3186,obvious long-term trend,1.58,,
3186,marine planktonic system,1.58,,
3186,chaotic internal interaction,1.58,,
3186,end-terminal glacial period,1.58,,
3186,system primary production,1.58,,
3186,ocean-atmosphere climate model,1.58,,
3186,regional climate variability,1.58,,
3186,oceanic caco3 flux,1.58,,
3186,16s rrna-tag pyrosequencing,1.58,,
3186,rigorous time-sery analysis,1.58,,
3186,surface sea water,1.58,,
3186,external caco3 structure,1.58,,
3186,slow numerical response,1.58,,
3186,water flow paattredrne,1.58,,
3186,coastal eutrophication impact,1.58,,
3186,hourly datalogger reading,1.58,,
3186,experimental pco2 condition,1.58,,
3186,catastrophic metabolic collapse,1.58,,
3186,sustained observational program,1.58,,
3186,toxic dinoflagellate bloom,1.58,,
3186,black sea ecosystem,1.58,,
3186,oligotrophic low-latitude gyre,1.58,,
3186,elevated phytoplankton biomass,1.58,,
3186,thermocline tilt change,1.58,,
3186,black polycarbonate filter,1.58,,
3186,many catastrophic response,1.58,,
3186,enso-like interdecadal variability,1.58,,
3186,green light source,1.58,,
3186,intensive time-sery program,1.58,,
3186,simple bulk quantity,1.58,,
3186,elemental flow network,1.58,,
3186,tropical pacific ocean,1.58,,
3186,climate change signal,1.58,,
3186,molecular probes inc.,1.58,,
3186,pfam domain search,1.58,,
3186,zooplankton population growth,1.58,,
3186,oceanic phytoplankton assemblage,1.58,,
3186,structural equation modeling,1.58,,
3186,daily primary production,1.58,,
3186,iron-containing particulate material,1.58,,
3186,algal silicon user,1.58,,
3186,openocean carbonate pump,1.58,,
3186,light limited photosynthesis,1.58,,
3186,photochemical iron reduction,1.58,,
3186,domain shift hypothesis,1.58,,
3186,global change ecology,1.58,,
3186,system property status,1.58,,
3186,debate concern stability,1.58,,
3186,cosmopolitan diatom specie,1.58,,
3186,continental shelf sea,1.58,,
3186,excess surface phosphorus,1.58,,
3186,high-latitude o2 supply,1.58,,
3186,lhcf gene family,1.58,,
3186,sea surface height,1.58,,
3186,modeling el nin,1.58,,
3186,microbial-based recycling community,1.58,,
3186,complex ecosystem model,1.58,,
3186,summertime surface chl,1.58,,
3186,bermuda time-series study,1.58,,
3186,estuarine food web,1.58,,
3186,estu- arine gradient,1.58,,
3186,copepod centropage typicus,1.58,,
3186,ecosystem state space,1.58,,
3186,valuable ecosystem service,1.58,,
3186,other human activity,1.58,,
3186,dynamic polar jet,1.58,,
3186,phytoplankton food resource,1.58,,
3186,marine n2-fixing specie,1.58,,
3186,low absolute variability,1.58,,
3186,non-significant expressional change,1.58,,
3186,quantitative nutrient intake,1.58,,
3186,rich chl-a region,1.58,,
3186,phytoplankton internal nitrogen,1.58,,
3186,low light limitation,1.58,,
3186,monthly composite datum,1.58,,
3186,alternative oceanic regime,1.58,,
3186,second eof mode,1.58,,
3186,14c-based global estimate,1.58,,
3186,ocean deoxygena- tion,1.58,,
3186,nutrient-rich deep water,1.58,,
3186,full rank flow,1.58,,
3186,mass spectrometer parameter,1.58,,
3186,dash-dotted regression line,1.58,,
3186,resource sufficient biodiversity,1.58,,
3186,planktonic bacterial growth,1.58,,
3186,nutri- ent reduction,1.58,,
3186,contemporary ocean productivity,1.58,,
3186,maximal food conversion,1.58,,
3186,copepod genus calanus,1.58,,
3186,emilania huxleyi nzeh,1.58,,
3186,full salinity area,1.58,,
3186,light flux alteration,1.58,,
3186,realistic co2 variation,1.58,,
3186,normal phenom- enon,1.58,,
3186,non-enso sst variability,1.58,,
3186,titration acid density,1.58,,
3186,? balance point,1.58,,
3186,such trophic cascade,1.58,,
3186,typical interneoglacial period,1.58,,
3186,additional systematic uncertainty,1.58,,
3186,prolonged grazing pressure,1.58,,
3186,sea-bird monitoring programme,1.58,,
3186,sterile hepavent disc,1.58,,
3186,condition ecological status,1.58,,
3186,comparative animal physiology,1.58,,
3186,cold-dry polar-type climate,1.58,,
3186,guide ecosystem management,1.58,,
3186,experimental condition dt,1.58,,
3186,pnas direct submission,1.58,,
3186,lateral onshore-offshore transport,1.58,,
3186,freshwater plankton community,1.58,,
3186,initial size spectrum,1.58,,
3186,marine science volume,1.58,,
3186,particulate iron penetrate,1.58,,
3186,subtropical open ocean,1.58,,
3186,alternative trophic pathway,1.58,,
3186,cpr calanus datum,1.58,,
3186,high input rate,1.58,,
3186,coastal ecosystem type,1.58,,
3186,getm physical model,1.58,,
3186,algal growth rate,1.58,,
3186,elevated chlorophyll biomass,1.58,,
3186,south american coast,1.58,,
3186,suboptimal p content,1.58,,
3186,aeolian dust particle,1.58,,
3186,chelex labile fe,1.58,,
3186,electron transport system,1.58,,
3186,n input rate,1.58,,
3186,long-term adaptation experiment,1.58,,
3186,director @ pik-potsdam.de,1.58,,
3186,metabolic flow ingestion,1.58,,
3186,intracellular carbon refixation,1.58,,
3186,organic matter release,1.58,,
3186,high-resolution multi-year dataset,1.58,,
3186,world precision instrument,1.58,,
3186,self-contained gene pool,1.58,,
3186,comweb comparative analysis,1.58,,
3186,strict fe requirement,1.58,,
3186,continental shelf water,1.58,,
3186,local model mld,1.58,,
3186,mm polycap capsule,1.58,,
3186,predictable broad scale,1.58,,
3186,nw mediterranean sea,1.58,,
3186,algal biomass response,1.58,,
3186,shallow water body,1.58,,
3186,healthy ecosystem configuration,1.58,,
3186,big dust source,1.58,,
3186,kinu- ura bay,1.58,,
3186,pacific decadal oscillation19,1.58,,
3186,1* paul r,1.58,,
3186,cellular production rate,1.58,,
3186,0.4-mm polycarbonate filter,1.58,,
3186,diatom phaeodactylum tricornutum,1.58,,
3186,feeding fish larva,1.58,,
3186,p-rich lake system,1.58,,
3186,tandem mass spectrometry,1.58,,
3186,carbon/energy limitation paradigm,1.58,,
3186,n-rich food particle,1.58,,
3186,marine organic particle,1.58,,
3186,phosphorus seston stoichiometry,1.58,,
3186,principal component index,1.58,,
3186,c flow determination,1.58,,
3186,annual p loading,1.58,,
3186,variable global rate,1.58,,
3186,human influenza morbidity,1.58,,
3186,small experimental system,1.58,,
3186,marine planktonic copepod,1.58,,
3186,molecular mass compound,1.58,,
3186,euphotic zone average,1.58,,
3186,sta-set x linen,1.58,,
3186,colonial centric diatom,1.58,,
3186,poc cell21 day21,1.58,,
3186,calanus finmarchicus female,1.58,,
3186,marine florian hantzsche1,1.58,,
3186,first-order nutrient budget,1.58,,
3186,present-day polar front,1.58,,
3186,northern wap biota,1.58,,
3186,northern sub-region nbin,1.58,,
3186,particulate matcop ter,1.58,,
3186,euphotic zone depth,1.58,,
3186,planktonic size fraction,1.58,,
3186,20th century slowdown,1.58,,
3186,northeast united state,1.58,,
3186,complex environmental problem,1.58,,
3186,soft-tissue carbon pump,1.58,,
3186,ocean health index,1.58,,
3186,opaque tube sampler,1.58,,
3186,flow cytometer tibility,1.58,,
3186,vertical salinity gradient,1.58,,
3186,science web site,1.58,,
3186,species abundance distribution,1.58,,
3186,cop released den,1.58,,
3186,incomplete ecosystem datum,1.58,,
3186,flow cytometric datum,1.58,,
